,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1973,03/02/2017,a few days or more,0.0,0.0,f,2.0,2.0,t,f,Rochor,Central Region,1.3022799999999999,103.84714,Private room in apartment,Private room,1,1 shared bath,1.0,1.0,60.0,90,90,t,30,60,90,181,4,0,0,27/08/2018,17/09/2019,1,10.0,10.0,10.0,10.0,10.0,10.0,f,2,0,2,0,0.15
1974,04/11/2014,within a few hours,1.0,0.9,f,40.0,40.0,t,t,Outram,Central Region,1.27815,103.84456999999999,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,165.0,90,1125,t,30,60,90,359,7,2,0,12/10/2018,23/01/2020,1,9.0,10.0,10.0,10.0,10.0,10.0,f,37,35,0,0,0.28
1975,03/09/2014,a few days or more,0.33,0.96,f,38.0,38.0,t,t,Geylang,Central Region,1.3103,103.88141,Private room in apartment,Private room,3,1 private bath,1.0,2.0,90.0,1,365,t,1,1,1,25,29,6,0,18/09/2018,08/02/2020,1,9.0,9.0,10.0,10.0,9.0,9.0,t,39,0,39,0,1.13
1976,05/01/2017,,0.0,0.0,f,1.0,1.0,t,t,Kallang,Central Region,1.30786,103.86218000000001,Private room in condominium,Private room,1,1 private bath,1.0,1.0,79.0,2,1125,t,0,0,0,196,5,0,0,23/08/2018,18/01/2019,1,10.0,8.0,10.0,10.0,10.0,10.0,f,1,0,1,0,0.19
1977,07/09/2015,within an hour,1.0,1.0,f,10.0,10.0,t,t,Kallang,Central Region,1.32161,103.86578,Entire condominium,Entire home/apt,5,2 baths,2.0,3.0,166.0,4,180,t,19,49,79,260,43,7,0,30/08/2018,17/03/2020,1,10.0,9.0,9.0,10.0,9.0,9.0,f,10,6,4,0,1.63
1978,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Kallang,Central Region,1.31571,103.85462,Entire condominium,Entire home/apt,4,1 bath,1.0,2.0,130.0,25,1124,t,30,60,90,365,2,0,0,30/04/2019,23/10/2019,1,10.0,10.0,10.0,10.0,10.0,8.0,f,97,96,0,0,0.11
1979,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Kallang,Central Region,1.31395,103.85619,Entire condominium,Entire home/apt,2,1 bath,1.0,2.0,128.0,10,1124,t,30,60,90,365,3,0,0,10/09/2018,11/05/2019,1,7.0,7.0,10.0,7.0,10.0,7.0,f,97,96,0,0,0.12
1980,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.31134,103.87810999999999,Entire condominium,Entire home/apt,6,2 baths,2.0,4.0,178.0,3,1124,t,30,60,90,365,28,4,0,29/08/2018,04/03/2020,1,9.0,10.0,10.0,10.0,9.0,9.0,f,97,96,0,0,1.06
1981,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.30969,103.87599,Entire condominium,Entire home/apt,9,3 baths,3.0,4.0,258.0,3,1124,t,30,60,90,365,8,1,0,31/08/2018,20/11/2019,1,9.0,9.0,9.0,9.0,9.0,9.0,f,97,96,0,0,0.3
1982,16/03/2015,within a few hours,0.81,0.9,f,126.0,126.0,t,t,Geylang,Central Region,1.31009,103.87606,Entire condominium,Entire home/apt,6,2 baths,2.0,4.0,178.0,3,1124,t,30,60,90,365,28,3,0,18/09/2018,31/01/2020,1,10.0,9.0,10.0,10.0,9.0,9.0,f,97,96,0,0,1.09
